Timestamp   value
"1553977083"  29.1
"1553977092"  29.2
"1553977127"  29.8
"1553977136"  29.9
"1553977145"  30.1
"1553977163"  30.3
"1553977190"  30.7
"1553977208"  31.0
"1553977217"  31.1
"1553977252"  31.6
"1553977288"  32.1
"1553977306"  32.4
"1553977323"  32.6
"1553977332"  32.7
"1553977368"  33.1
"1553977377"  33.2
"1553977386"  33.3
"1553977395"  33.5
"1553977404"  33.6
"1553977421"  33.8
"1553977430"  33.9
"1553977448"  34.0
"1553977457"  34.1
"1553977466"  34.2
"1553977493"  34.5
"1553977502"  34.6
"1553977511"  34.7
"1553977520"  34.8
"1553977528"  34.8
"1553977546"  35.0
"1553977555"  35.1
"1553977564"  35.2
"1553977573"  35.2
"1553977582"  35.3
"1553977591"  35.4
"1553977600"  35.5
"1553977609"  35.5
"1553977627"  35.7
"1553977636"  35.7
"1553977644"  35.8
"1553977662"  35.9
"1553977671"  36.0
"1553977680"  36.1
"1553977698"  36.2
"1553977707"  36.3
"1553977725"  36.4
"1553977734"  36.5
"1553977743"  36.5
"1553977751"  36.6
"1553977760"  36.6
"1553977769"  36.7
"1553977778"  36.8
"1553977787"  36.8
"1553977796"  36.9
"1553977805"  36.9
"1553977814"  37.0
"1553977823"  37.0
"1553977832"  37.1
"1553977841"  37.2
"1553977850"  37.2
"1553977867"  37.3
"1553977876"  37.4
"1553977903"  37.5
"1553977921"  37.6
"1553977930"  37.6
"1553977939"  37.7
"1553977948"  37.7
"1553977957"  37.8
"1553977966"  37.8
"1553977975"  37.9
"1553977983"  37.9
"1553977992"  38.0
"1553978001"  38.0
"1553978010"  38.0
"1553978028"  38.1
"1553978037"  38.1
"1553978046"  38.2
"1553978055"  38.2
"1553978064"  38.3
"1553978073"  38.3
"1553978082"  38.3
"1553978091"  38.3
"1553978108"  38.4
"1553978117"  38.4
"1553978135"  38.5
"1553978144"  38.5
"1553978162"  38.6
"1553978171"  38.6
"1553978180"  38.6
"1553978189"  38.6
"1553978216"  38.7
"1553978225"  38.8
"1553978233"  38.8
"1553978251"  38.8
"1553978269"  38.9
"1553978278"  38.9
"1553978287"  38.9
"1553978323"  39.0
"1553978349"  39.1
"1553978367"  39.2
"1553978376"  39.2
"1553978385"  39.2
"1553978394"  39.2
"1553978403"  39.3
"1553978412"  39.3
"1553978421"  39.3
"1553978430"  39.3
"1553978439"  39.4
"1553978457"  39.4
"1553978465"  39.4
"1553978483"  39.5
"1553978501"  39.5
"1553978510"  39.5
"1553978519"  39.5
"1553978537"  39.5
"1553978546"  39.6
"1553978555"  39.6
"1553978572"  39.6
"1553978581"  39.6
"1553978590"  39.6
"1553978599"  39.6
"1553978608"  39.7
"1553978626"  39.7
"1553978635"  39.7
"1553978644"  39.7
"1553978653"  39.7
"1553978670"  39.7
"1553978679"  39.7
"1553978688"  39.7
"1553978697"  39.7
"1553978706"  39.8
"1553978715"  39.8
"1553978724"  39.8
"1553978742"  39.8
"1553978751"  39.8
"1553978760"  39.9
"1553978768"  39.9
"1553978777"  39.9
"1553978786"  39.9
"1553978795"  39.9
"1553978804"  39.9
"1553978813"  39.9
"1553978831"  40.0
"1553978876"  40.1
"1553978903"  40.1
"1553978920"  40.1
"1553978947"  40.2
"1553978956"  40.2
"1553978965"  40.2
"1553979019"  40.3
"1553979036"  40.3
"1553979072"  40.3
"1553979117"  40.4
"1553979144"  40.4
"1553979171"  40.5
"1553979180"  40.5
"1553979189"  40.5
"1553979199"  40.5
"1553979208"  40.5
"1553979217"  40.5
"1553979226"  40.5
"1553979235"  40.5
"1553979253"  40.6
"1553979262"  40.6
"1553979271"  40.6
"1553979280"  40.6
"1553979289"  40.6
"1553979299"  40.6
"1553979308"  40.6
"1553979317"  40.6
"1553979326"  40.6
"1553979335"  40.7
"1553979344"  40.7
"1553979371"  40.7
"1553979380"  40.7
"1553979389"  40.7
"1553979398"  40.8
"1553979407"  40.8
"1553979416"  40.8
"1553979425"  40.8
"1553979434"  40.8
"1553979443"  40.8
"1553979452"  40.8
"1553979461"  40.8
"1553979470"  40.9
"1553979479"  40.9
"1553979488"  40.9
"1553979497"  40.9
