Timestamp   value
["metric"  "d1.dht.temperature"
"tags"  "device":"1"
"sensor"  "DHT22"}
"aggregateTags"  []
"dps"  "1552514235":24.0
"1552514253"  24.1
"1552514271"  24.3
"1552514280"  24.3
"1552514289"  24.4
"1552514298"  24.4
"1552514307"  24.5
"1552514316"  24.5
"1552514325"  24.6
"1552514334"  24.6
"1552514342"  24.7
"1552514360"  24.8
"1552514387"  24.9
"1552514396"  25.0
"1552514405"  25.1
"1552514414"  25.1
"1552514440"  25.3
"1552514449"  25.4
"1552514458"  25.4
"1552514467"  25.4
"1552514476"  25.5
"1552514485"  25.5
"1552514494"  25.6
"1552514503"  25.6
"1552514512"  25.6
"1552514521"  25.8
"1552514530"  25.7
"1552514539"  25.8
"1552514548"  25.9
"1552514556"  26.0
"1552514565"  26.0
"1552514583"  26.2
"1552514592"  26.3
"1552514601"  26.4
"1552514619"  26.5
"1552514636"  26.6
"1552514645"  26.6
"1552514654"  26.6
"1552514663"  26.6
"1552514672"  26.5
"1552514690"  26.5
"1552514708"  26.6
"1552514717"  26.7
"1552514725"  26.7
"1552514734"  26.8
"1552514743"  26.8
"1552514761"  27.0
"1552514779"  27.0
"1552514788"  27.1
"1552514797"  27.1
"1552514815"  27.2
"1552514824"  27.2
"1552514832"  27.3
"1552514841"  27.3
"1552514850"  27.3
"1552514859"  27.3
"1552514868"  27.4
"1552514877"  27.4
"1552514886"  27.4
"1552514895"  27.4
"1552514913"  27.5
"1552514922"  27.5
"1552514931"  27.5
"1552514939"  27.5
"1552514948"  27.6
"1552514957"  27.6
"1552514993"  27.7
"1552515002"  27.8
"1552515020"  27.8
"1552515029"  27.9
"1552515038"  27.9
"1552515047"  27.9
"1552515056"  28.0
"1552515064"  28.0
"1552515073"  27.9
"1552515091"  28.0
"1552515100"  28.0
"1552515118"  28.1
"1552515136"  28.2
"1552515154"  28.2
"1552515172"  28.3
"1552515190"  28.3
"1552515199"  28.3
"1552515207"  28.3
"1552515216"  28.3
"1552515225"  28.3
"1552515234"  28.3
"1552515243"  28.4
"1552515252"  28.4
"1552515261"  28.4
"1552515279"  28.5
"1552515288"  28.6
"1552515297"  28.6
