Timestamp   value
["metric"  "d1.bmp.temperature"
"tags"  "device":"1"
"sensor"  "BMP280"}
"aggregateTags"  []
"dps"  "1552514235":27.2
"1552514253"  27.5
"1552514271"  27.8
"1552514280"  27.9
"1552514289"  28.0
"1552514298"  28.2
"1552514307"  28.3
"1552514316"  28.4
"1552514325"  28.5
"1552514334"  28.6
"1552514342"  28.7
"1552514360"  28.9
"1552514387"  29.2
"1552514396"  29.3
"1552514405"  29.4
"1552514414"  29.5
"1552514440"  29.7
"1552514449"  29.8
"1552514458"  29.9
"1552514467"  30.0
"1552514476"  30.1
"1552514485"  30.2
"1552514494"  30.3
"1552514503"  30.3
"1552514512"  30.4
"1552514521"  30.5
"1552514530"  30.6
"1552514539"  30.7
"1552514548"  30.7
"1552514556"  30.8
"1552514565"  30.9
"1552514583"  31.0
"1552514592"  31.1
"1552514601"  31.2
"1552514619"  31.3
"1552514636"  31.4
"1552514645"  31.5
"1552514654"  31.6
"1552514663"  31.6
"1552514672"  31.7
"1552514690"  31.8
"1552514708"  31.9
"1552514717"  32.0
"1552514725"  32.0
"1552514734"  32.1
"1552514743"  32.1
"1552514761"  32.2
"1552514779"  32.3
"1552514788"  32.4
"1552514797"  32.4
"1552514815"  32.5
"1552514824"  32.6
"1552514832"  32.6
"1552514841"  32.7
"1552514850"  32.7
"1552514859"  32.8
"1552514868"  32.8
"1552514877"  32.9
"1552514886"  32.9
"1552514895"  32.9
"1552514913"  33.0
"1552514922"  33.1
"1552514931"  33.1
"1552514939"  33.1
"1552514948"  33.2
"1552514957"  33.2
"1552514993"  33.3
"1552515002"  33.4
"1552515020"  33.4
"1552515029"  33.5
"1552515038"  33.5
"1552515047"  33.5
"1552515056"  33.6
"1552515064"  33.6
"1552515073"  33.6
"1552515091"  33.7
"1552515100"  33.7
"1552515118"  33.8
"1552515136"  33.9
"1552515154"  33.9
"1552515172"  34.0
"1552515190"  34.0
"1552515199"  34.0
"1552515207"  34.0
"1552515216"  34.1
"1552515225"  34.1
"1552515234"  34.1
"1552515243"  34.1
"1552515252"  34.2
"1552515261"  34.2
"1552515279"  34.2
"1552515288"  34.2
"1552515297"  34.3
"1552515305"  34.3
"1552515323"  34.3
"1552515341"  34.4
"1552515359"  34.5
"1552515368"  34.5
"1552515377"  34.5
"1552515386"  34.5
"1552515395"  34.5
"1552515404"  34.6
"1552515413"  34.6
"1552515439"  34.7
"1552515448"  34.7
"1552515466"  34.7
"1552515475"  34.7
"1552515484"  34.7
"1552515493"  34.7
"1552515502"  34.8
"1552515511"  34.8
"1552515519"  34.8
"1552515537"  34.8
"1552515591"  34.8
"1552515626"  34.8
"1552515635"  34.8
"1552515644"  34.8
"1552515653"  34.8
"1552515689"  34.9
